Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status,ML_Anomaly_Score,ML_Is_Anomaly,ML_Primary_Driver,ML_Anomaly_Explanation
151,2026-05-31,9.5,7.46,8.82,10.85,7.44,10.8,9.51,10.17,9.69,8.28,7.21,8.27,12.03,11.67,10.71,9.22,9.57,9.8,11.7,4.57,0.0,0.29,2026,5,31,2026-05-31,9.363499999999998,12.03,4.57,7.459999999999999,0.0949999999999988,0.29,-0.01,0.5685714285714285,0.6370617074095878,9.48952255639098,-3.3333333333333326,99.05,Sunday,May,Low,Low,0.515,1,VOC_STD_7,Operational values within normal multidimensional clusters.
152,2026-06-01,9.5,7.46,8.81,10.89,7.4,10.51,9.51,10.54,9.69,8.28,7.21,8.33,13.02,11.67,10.71,9.05,9.48,9.8,11.58,8.11,0.0,0.29,2026,6,1,2026-06-01,9.5775,13.02,7.21,5.81,0.2140000000000022,0.29,0.0,0.5585714285714285,0.6414158446080716,9.475857142857144,0.0,97.86,Monday,June,Normal,Low,0.433,1,VOC_STD_7,Operational values within normal multidimensional clusters.
153,2026-06-02,9.5,7.47,8.81,10.89,7.45,10.87,9.51,10.68,9.69,8.27,7.21,8.23,13.14,11.68,10.73,9.54,9.46,9.8,11.66,7.15,0.0,0.3,2026,6,2,2026-06-02,9.587,13.14,7.15,5.99,0.0094999999999991,0.3,0.01,0.5585714285714285,0.6414158446080716,9.4695,3.4482758620689724,99.905,Tuesday,June,Normal,Low,0.415,1,VOC_STD_7,Operational values within normal multidimensional clusters.
154,2026-06-03,9.5,7.47,8.81,10.9,7.34,10.73,9.51,10.55,9.69,8.25,7.21,8.19,12.94,11.68,10.72,10.11,9.54,9.8,11.66,9.74,0.0,0.27,2026,6,3,2026-06-03,9.717,12.94,7.21,5.73,0.1300000000000007,0.27,-0.0299999999999999,0.5385714285714285,0.6489588731557795,9.491785714285712,-9.999999999999986,98.7,Wednesday,June,Normal,Low,0.424,1,VOC_STD_7,Operational values within normal multidimensional clusters.
155,2026-06-04,9.5,7.47,8.81,10.91,7.36,10.56,9.51,10.3,9.69,8.26,7.21,7.69,12.79,11.68,10.71,10.13,9.54,9.8,11.63,9.66,0.0,0.24,2026,6,4,2026-06-04,9.6605,12.79,7.21,5.579999999999999,-0.0565000000000015,0.24,-0.03,0.2857142857142857,0.0237045304088635,9.508642857142856,-11.111111111111116,99.435,Thursday,June,Normal,Low,0.08,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
156,2026-06-05,9.5,7.47,8.81,10.96,7.47,10.38,9.51,10.35,9.69,8.26,7.21,7.77,12.49,11.67,10.69,10.13,9.66,9.8,11.61,9.61,0.0,0.24,2026,6,5,2026-06-05,9.652,12.49,7.21,5.28,-0.0084999999999979,0.24,0.0,0.2757142857142857,0.0263673679998224,9.546571428571427,0.0,99.91500000000002,Friday,June,Normal,Low,0.084,1,Max_pH,Operational values within normal multidimensional clusters.
157,2026-06-06,9.5,7.47,8.81,11.0,7.24,10.31,9.51,10.48,9.69,8.26,7.21,7.83,12.08,11.67,10.69,10.13,9.65,9.8,12.13,9.64,0.0,0.24,2026,6,6,2026-06-06,9.655,12.13,7.21,4.920000000000001,0.0030000000000001,0.24,0.0,0.2671428571428571,0.0269037083653811,9.601785714285713,0.0,99.97,Saturday,June,Normal,Low,0.135,1,Max_pH,Operational values within normal multidimensional clusters.
158,2026-06-07,9.5,7.47,8.81,11.03,7.22,10.34,9.51,10.68,9.69,8.26,7.21,8.12,12.27,11.67,10.69,10.12,9.66,9.8,12.49,9.62,0.0,0.24,2026,6,7,2026-06-07,9.708000000000002,12.49,7.21,5.28,0.0530000000000008,0.24,0.0,0.26,0.026457513110645,9.651,0.0,99.47,Sunday,June,Normal,Low,0.069,1,Max_pH,Operational values within normal multidimensional clusters.
159,2026-06-08,9.5,7.47,8.81,11.09,7.48,10.39,9.51,10.37,9.69,8.25,7.21,8.1,13.02,11.66,10.67,9.32,9.63,9.8,12.49,9.63,0.0,0.22,2026,6,8,2026-06-08,9.7045,13.02,7.21,5.81,-0.0035000000000025,0.22,-0.0199999999999999,0.25,0.0264575131106448,9.669142857142855,-8.333333333333325,99.96499999999996,Monday,June,Normal,Low,0.049,1,VOC_Rolling_7,Operational values within normal multidimensional clusters.
160,2026-06-09,9.5,7.48,8.81,11.12,7.59,10.46,9.51,11.9,9.69,8.25,7.21,8.12,12.94,11.66,10.68,9.67,9.67,9.8,12.43,9.64,0.0,0.32,2026,6,9,2026-06-09,9.8065,12.94,7.21,5.73,0.1020000000000003,0.32,0.1,0.2528571428571428,0.0330223589477816,9.7005,45.45454545454546,98.98,Tuesday,June,Normal,Low,0.086,1,VOC_Rate,Operational values within normal multidimensional clusters.
161,2026-06-10,9.5,7.48,8.81,11.13,7.95,10.64,9.51,13.89,9.69,8.23,7.21,7.77,12.91,11.66,10.69,9.51,9.57,9.8,12.23,9.64,0.0,0.31,2026,6,10,2026-06-10,9.891,13.89,7.21,6.680000000000001,0.0845000000000002,0.31,-0.01,0.2585714285714285,0.0393397896234715,9.725357142857144,-3.125,99.155,Wednesday,June,Normal,Low,0.048,1,Max_pH,Operational values within normal multidimensional clusters.
162,2026-06-11,9.5,7.48,8.81,11.15,8.0,10.71,9.51,13.89,9.69,8.27,7.21,7.86,12.95,11.67,10.69,9.58,9.55,9.8,12.06,9.65,0.0,0.32,2026,6,11,2026-06-11,9.901500000000002,13.89,7.21,6.680000000000001,0.0105000000000021,0.32,0.01,0.2699999999999999,0.0443471156521664,9.759785714285714,3.2258064516129004,99.89499999999998,Thursday,June,Normal,Low,0.036,1,Max_pH,Operational values within normal multidimensional clusters.
163,2026-06-12,9.5,7.48,8.81,11.19,7.75,10.94,9.51,13.76,9.69,8.28,7.21,8.02,12.87,11.66,10.69,9.44,9.42,9.8,12.04,9.63,0.0,0.36,2026,6,12,2026-06-12,9.8845,13.76,7.21,6.55,-0.017000000000003,0.36,0.0399999999999999,0.2871428571428571,0.0531395288256256,9.793,12.5,99.82999999999996,Friday,June,Normal,Low,0.029,1,Max_pH,Operational values within normal multidimensional clusters.
164,2026-06-13,9.5,7.48,8.81,11.24,7.54,11.14,9.51,13.72,9.69,8.29,7.21,7.81,11.48,11.66,10.69,9.34,9.5,9.8,11.94,9.64,0.0,0.29,2026,6,13,2026-06-13,9.7995,13.72,7.21,6.510000000000001,-0.084999999999999,0.29,-0.07,0.2942857142857143,0.0489411697371249,9.813642857142856,-19.444444444444443,99.15,Saturday,June,Normal,Low,0.053,1,Max_pH,Operational values within normal multidimensional clusters.
165,2026-06-14,9.5,7.48,8.81,11.28,7.78,10.86,9.51,13.72,9.69,8.28,7.21,8.23,10.44,11.66,10.68,9.13,9.52,9.8,11.76,9.7,0.0,0.29,2026,6,14,2026-06-14,9.752,13.72,7.21,6.510000000000001,-0.0475000000000012,0.29,0.0,0.3014285714285714,0.0429839394148445,9.819928571428571,0.0,99.525,Sunday,June,Normal,Low,0.018,1,Max_pH,Operational values within normal multidimensional clusters.
166,2026-06-15,9.5,7.49,8.81,11.33,7.86,10.48,9.51,13.67,9.69,8.29,7.21,8.33,10.57,11.66,10.68,9.14,9.67,9.8,11.68,9.63,0.0,0.31,2026,6,15,2026-06-15,9.75,13.67,7.21,6.46,-0.0019999999999988,0.31,0.02,0.3142857142857142,0.0237045304088639,9.82642857142857,6.896551724137945,99.98000000000002,Monday,June,Normal,Low,0.045,1,Max_pH,Operational values within normal multidimensional clusters.
167,2026-06-16,9.5,7.49,8.81,11.38,7.73,10.36,9.51,13.6,9.69,8.29,7.21,8.06,12.9,11.64,10.68,9.74,9.58,9.8,11.6,9.61,0.0,0.24,2026,6,16,2026-06-16,9.859,13.6,7.21,6.39,0.1089999999999999,0.24,-0.07,0.3028571428571429,0.0363841933236056,9.833928571428572,-22.580645161290324,98.91,Tuesday,June,Normal,Low,0.049,1,VOC_Rate,Operational values within normal multidimensional clusters.
168,2026-06-17,9.5,7.49,8.81,11.42,7.72,10.29,9.51,13.51,9.69,8.3,7.21,7.89,12.72,11.63,10.69,10.15,9.38,9.8,11.57,9.57,0.0,0.21,2026,6,17,2026-06-17,9.8425,13.51,7.21,6.3,-0.0165000000000006,0.21,-0.03,0.2885714285714286,0.0501426536422403,9.827,-12.5,99.835,Wednesday,June,Normal,Low,0.007,1,Primary_VOC,Operational values within normal multidimensional clusters.
169,2026-06-18,9.5,7.49,8.8,11.48,7.62,10.64,9.51,13.08,9.69,8.3,7.21,8.0,12.32,11.67,10.71,9.82,9.04,9.8,11.57,9.63,0.0,0.36,2026,6,18,2026-06-18,9.794,13.08,7.21,5.87,-0.0484999999999988,0.36,0.15,0.2942857142857143,0.0562308168347636,9.811642857142855,71.42857142857142,99.515,Thursday,June,Normal,Low,0.084,1,VOC_Rate,Operational values within normal multidimensional clusters.
170,2026-06-19,9.5,7.49,8.81,11.51,7.41,10.83,9.51,12.77,9.69,7.92,7.21,8.11,11.21,11.67,10.7,9.78,9.16,9.8,11.49,9.65,0.0,0.26,2026,6,19,2026-06-19,9.711000000000002,12.77,7.21,5.56,-0.0829999999999984,0.26,-0.0999999999999999,0.2799999999999999,0.0489897948556631,9.786857142857142,-27.777777777777768,99.17000000000002,Friday,June,Normal,Low,0.072,1,VOC_Rate,Operational values within normal multidimensional clusters.
171,2026-06-20,9.5,7.49,8.81,11.43,7.31,10.68,9.51,12.62,9.69,8.32,7.21,8.09,12.32,11.66,10.68,10.15,9.23,9.8,11.49,9.66,0.0,0.24,2026,6,20,2026-06-20,9.7825,12.62,7.21,5.409999999999999,0.0714999999999967,0.24,-0.02,0.2728571428571428,0.0508967208224277,9.784428571428572,-7.692307692307699,99.28500000000004,Saturday,June,Normal,Low,0.048,1,Max_pH,Operational values within normal multidimensional clusters.
172,2026-06-21,9.5,7.49,8.8,11.53,7.28,10.49,9.51,11.62,9.69,8.31,7.21,8.09,13.09,11.65,10.73,10.15,9.01,9.8,11.51,9.66,0.0,0.3,2026,6,21,2026-06-21,9.755999999999998,13.09,7.21,5.88,-0.0265000000000004,0.3,0.06,0.2742857142857143,0.051593650402978,9.785,25.0,99.735,Sunday,June,Normal,Low,0.009,1,Min_pH,Operational values within normal multidimensional clusters.
173,2026-06-22,9.5,7.49,8.82,11.52,7.12,10.74,9.51,11.32,9.69,8.3,7.21,8.13,12.6,11.68,10.68,10.15,8.74,9.8,12.26,9.72,0.0,0.28,2026,6,22,2026-06-22,9.749,12.6,7.12,5.48,-0.0069999999999996,0.28,-0.0199999999999999,0.2699999999999999,0.049328828623162,9.784857142857144,-6.666666666666654,99.93,Monday,June,Normal,Low,0.03,1,Max_pH,Operational values within normal multidimensional clusters.
174,2026-06-23,9.5,7.49,8.81,11.56,6.97,10.83,9.51,11.22,9.69,8.3,7.21,7.86,13.39,11.68,10.69,10.15,8.74,9.8,12.54,9.8,0.0,0.37,2026,6,23,2026-06-23,9.787,13.39,6.97,6.420000000000001,0.038000000000002,0.37,0.0899999999999999,0.2885714285714286,0.0595618925792239,9.774571428571427,32.14285714285714,99.61999999999998,Tuesday,June,Normal,Low,0.046,1,VOC_Rate,Operational values within normal multidimensional clusters.
175,2026-06-24,9.5,7.5,8.82,11.57,6.82,10.76,9.51,11.19,9.69,8.3,7.21,7.92,13.29,11.69,10.68,10.15,8.74,9.8,12.5,9.8,0.0,0.27,2026,6,24,2026-06-24,9.772000000000002,13.29,6.82,6.469999999999999,-0.0149999999999987,0.27,-0.0999999999999999,0.2971428571428571,0.0499046710286338,9.7645,-27.027027027027017,99.85,Wednesday,June,Normal,Low,0.053,1,VOC_Rate,Operational values within normal multidimensional clusters.
176,2026-06-25,9.5,7.5,8.84,11.72,6.73,11.2,9.51,11.11,9.69,8.3,7.21,7.84,12.9,11.68,10.67,10.15,8.74,9.8,12.49,9.8,0.0,0.33,2026,6,25,2026-06-25,9.769000000000002,12.9,6.73,6.17,-0.0030000000000001,0.33,0.06,0.2928571428571428,0.0446147530585585,9.760928571428574,22.22222222222221,99.97,Thursday,June,Normal,Low,0.04,1,Stability_Index,Operational values within normal multidimensional clusters.
177,2026-06-26,9.5,7.51,8.83,11.8,6.86,11.38,9.51,11.14,9.69,8.28,7.21,7.71,12.85,11.67,10.67,10.15,8.74,9.8,12.54,9.8,0.0,0.24,2026,6,26,2026-06-26,9.782,12.85,6.86,5.989999999999999,0.0129999999999981,0.24,-0.09,0.29,0.047609522856952,9.771071428571428,-27.27272727272728,99.87000000000002,Friday,June,Normal,Low,0.042,1,VOC_Rate,Operational values within normal multidimensional clusters.
178,2026-06-27,9.5,7.47,8.83,11.68,6.8,11.16,9.51,11.19,9.69,8.3,7.21,7.86,12.99,11.68,10.68,10.15,8.74,9.8,12.49,9.8,0.0,0.34,2026,6,27,2026-06-27,9.776500000000002,12.99,6.8,6.19,-0.0054999999999978,0.34,0.1,0.3042857142857143,0.0450396650583839,9.770214285714289,41.66666666666667,99.94500000000002,Saturday,June,Normal,Low,0.055,1,VOC_Rate,Operational values within normal multidimensional clusters.
179,2026-06-28,9.5,7.5,8.81,11.58,6.69,11.08,9.51,11.09,9.69,8.29,7.21,7.67,13.01,11.7,10.71,10.15,8.74,9.8,12.51,9.8,0.0,0.24,2026,6,28,2026-06-28,9.752,13.01,6.69,6.319999999999999,-0.0245000000000015,0.24,-0.1,0.2957142857142857,0.0512695955569322,9.769642857142856,-29.41176470588236,99.75499999999998,Sunday,June,Normal,Low,0.042,1,VOC_Rate,Operational values within normal multidimensional clusters.
180,2026-06-29,9.5,7.51,8.81,11.51,6.57,11.02,9.51,11.1,9.69,8.3,7.21,8.07,13.22,11.68,10.7,10.15,8.74,9.8,12.53,9.8,0.0,0.44,2026,6,29,2026-06-29,9.771,13.22,6.57,6.65,0.0190000000000001,0.44,0.2,0.3185714285714285,0.0738079876952287,9.772785714285716,83.33333333333334,99.81,Monday,June,Normal,Low,0.216,1,VOC_Rate,Operational values within normal multidimensional clusters.
181,2026-06-30,9.5,7.52,8.81,11.5,6.54,10.55,9.51,11.1,9.69,8.3,7.21,8.27,13.28,11.68,10.7,10.15,8.74,9.8,12.5,9.8,0.0,0.47,2026,6,30,2026-06-30,9.757500000000002,13.28,6.54,6.739999999999999,-0.0134999999999987,0.47,0.0299999999999999,0.3328571428571428,0.0926848217912522,9.76857142857143,6.818181818181812,99.865,Tuesday,June,Normal,Low,0.117,1,Primary_VOC,Operational values within normal multidimensional clusters.
